sample_id	Filtered_tumor_regions	genetic_clone
HT308B1-S1H4Fc2U1Z1Bs1	34	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	35	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	4	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	5	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	6	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	7	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	8	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	9	clone_2
HT308B1-S1H5Fc2U1Z1Bs1	1	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	10	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	11	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	12	clone_2
HT308B1-S1H5Fc2U1Z1Bs1	14	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	16	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	17	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	18	clone_2
HT308B1-S1H5Fc2U1Z1Bs1	19	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	2	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	20	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	21	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	25	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	29	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	3	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	30	clone_2
HT308B1-S1H5Fc2U1Z1Bs1	32	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	35	clone_2
HT308B1-S1H5Fc2U1Z1Bs1	36	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	37	clone_2
HT308B1-S1H5Fc2U1Z1Bs1	39	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	4	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	5	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	6	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	7	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	8	clone_3
HT308B1-S1H5Fc2U1Z1Bs1	9	clone_3
HT308B1-S2H5Fc2U1Z1Bs1	1	clone_1
HT308B1-S2H5Fc2U1Z1Bs1	2	clone_1
HT308B1-S2H5Fc2U1Z1Bs1	3	clone_1
HT308B1-S2H5Fc2U1Z1Bs1	4	clone_1
HT308B1-S2H5Fc2U1Z1Bs1	5	clone_1
HT206B1-S1Fc1U2Z1B1	1	clone_1
HT206B1-S1Fc1U2Z1B1	11	clone_1
HT206B1-S1Fc1U2Z1B1	12	clone_1
HT206B1-S1Fc1U2Z1B1	13	clone_1
HT206B1-S1Fc1U2Z1B1	14	clone_1
HT206B1-S1Fc1U2Z1B1	15	clone_1
HT206B1-S1Fc1U2Z1B1	16	clone_1
HT206B1-S1Fc1U2Z1B1	17	clone_1
HT206B1-S1Fc1U2Z1B1	18	clone_2
HT206B1-S1Fc1U2Z1B1	19	clone_1
HT206B1-S1Fc1U2Z1B1	20	clone_1
HT206B1-S1Fc1U2Z1B1	22	clone_1
HT206B1-S1Fc1U2Z1B1	23	clone_1
HT206B1-S1Fc1U2Z1B1	24	clone_2
HT206B1-S1Fc1U2Z1B1	25	clone_1
HT206B1-S1Fc1U2Z1B1	26	clone_2
HT206B1-S1Fc1U2Z1B1	27	clone_1
HT206B1-S1Fc1U2Z1B1	28	clone_1
HT206B1-S1Fc1U2Z1B1	29	clone_2
HT206B1-S1Fc1U2Z1B1	3	clone_2
HT206B1-S1Fc1U2Z1B1	31	clone_1
HT206B1-S1Fc1U2Z1B1	34	clone_1
HT206B1-S1Fc1U2Z1B1	35	clone_1
HT206B1-S1Fc1U2Z1B1	37	clone_1
HT206B1-S1Fc1U2Z1B1	38	clone_1
HT206B1-S1Fc1U2Z1B1	4	clone_1
HT206B1-S1Fc1U2Z1B1	41	clone_1
HT206B1-S1Fc1U2Z1B1	42	clone_1
HT206B1-S1Fc1U2Z1B1	6	clone_2
HT206B1-S1Fc1U2Z1B1	7	clone_1
HT206B1-S1Fc1U2Z1B1	8	clone_1
HT206B1-S1Fc1U3Z1B1	11	clone_1
HT206B1-S1Fc1U3Z1B1	12	clone_1
HT206B1-S1Fc1U3Z1B1	13	clone_1
HT206B1-S1Fc1U3Z1B1	14	clone_1
HT206B1-S1Fc1U3Z1B1	15	clone_1
HT206B1-S1Fc1U3Z1B1	18	clone_1
HT206B1-S1Fc1U3Z1B1	19	clone_1
HT206B1-S1Fc1U3Z1B1	20	clone_1
HT206B1-S1Fc1U3Z1B1	21	clone_1
HT206B1-S1Fc1U3Z1B1	22	clone_1
HT206B1-S1Fc1U3Z1B1	23	clone_1
HT206B1-S1Fc1U3Z1B1	24	clone_2
HT206B1-S1Fc1U3Z1B1	25	clone_1
HT206B1-S1Fc1U3Z1B1	27	clone_1
HT206B1-S1Fc1U3Z1B1	30	clone_1
HT206B1-S1Fc1U3Z1B1	31	clone_1
HT206B1-S1Fc1U3Z1B1	32	clone_1
HT206B1-S1Fc1U3Z1B1	35	clone_1
HT206B1-S1Fc1U3Z1B1	36	clone_2
HT206B1-S1Fc1U3Z1B1	37	clone_2
HT206B1-S1Fc1U3Z1B1	39	clone_1
HT206B1-S1Fc1U3Z1B1	4	clone_2
HT206B1-S1Fc1U3Z1B1	40	clone_1
HT206B1-S1Fc1U3Z1B1	42	clone_1
HT206B1-S1Fc1U3Z1B1	44	clone_1
HT206B1-S1Fc1U3Z1B1	46	clone_1
HT206B1-S1Fc1U3Z1B1	47	clone_1
HT206B1-S1Fc1U3Z1B1	50	clone_1
HT206B1-S1Fc1U3Z1B1	52	clone_2
HT206B1-S1Fc1U3Z1B1	53	clone_1
HT206B1-S1Fc1U3Z1B1	57	clone_1
HT206B1-S1Fc1U3Z1B1	58	clone_2
HT206B1-S1Fc1U3Z1B1	59	clone_2
HT206B1-S1Fc1U3Z1B1	60	clone_1
HT206B1-S1Fc1U3Z1B1	7	clone_1
HT206B1-S1Fc1U4Z1B1	11	clone_1
HT206B1-S1Fc1U4Z1B1	12	clone_1
HT206B1-S1Fc1U4Z1B1	13	clone_1
HT206B1-S1Fc1U4Z1B1	14	clone_1
HT206B1-S1Fc1U4Z1B1	17	clone_1
HT206B1-S1Fc1U4Z1B1	18	clone_1
HT206B1-S1Fc1U4Z1B1	19	clone_1
HT206B1-S1Fc1U4Z1B1	20	clone_1
HT206B1-S1Fc1U4Z1B1	21	clone_1
HT206B1-S1Fc1U4Z1B1	22	clone_1
HT206B1-S1Fc1U4Z1B1	23	clone_1
HT206B1-S1Fc1U4Z1B1	24	clone_2
HT206B1-S1Fc1U4Z1B1	29	clone_2
HT206B1-S1Fc1U4Z1B1	31	clone_1
HT206B1-S1Fc1U4Z1B1	32	clone_1
HT206B1-S1Fc1U4Z1B1	34	clone_1
HT206B1-S1Fc1U4Z1B1	37	clone_1
HT206B1-S1Fc1U4Z1B1	38	clone_1
HT206B1-S1Fc1U4Z1B1	39	clone_2
HT206B1-S1Fc1U4Z1B1	4	clone_2
HT206B1-S1Fc1U4Z1B1	40	clone_1
HT206B1-S1Fc1U4Z1B1	41	clone_1
HT206B1-S1Fc1U4Z1B1	46	clone_2
HT206B1-S1Fc1U4Z1B1	53	clone_1
HT206B1-S1Fc1U4Z1B1	55	clone_1
HT206B1-S1Fc1U4Z1B1	56	clone_1
HT206B1-S1Fc1U4Z1B1	57	clone_1
HT206B1-S1Fc1U4Z1B1	58	clone_1
HT206B1-S1Fc1U4Z1B1	59	clone_1
HT206B1-S1Fc1U4Z1B1	60	clone_1
HT206B1-S1Fc1U4Z1B1	7	clone_1
HT206B1-S1Fc1U4Z1B1	8	clone_1
HT206B1-S1Fc1U5Z1B1	11	clone_1
HT206B1-S1Fc1U5Z1B1	12	clone_1
HT206B1-S1Fc1U5Z1B1	13	clone_1
HT206B1-S1Fc1U5Z1B1	14	clone_1
HT206B1-S1Fc1U5Z1B1	15	clone_1
HT206B1-S1Fc1U5Z1B1	17	clone_1
HT206B1-S1Fc1U5Z1B1	18	clone_1
HT206B1-S1Fc1U5Z1B1	19	clone_1
HT206B1-S1Fc1U5Z1B1	2	clone_2
HT206B1-S1Fc1U5Z1B1	21	clone_1
HT206B1-S1Fc1U5Z1B1	22	clone_1
HT206B1-S1Fc1U5Z1B1	23	clone_1
HT206B1-S1Fc1U5Z1B1	24	clone_1
HT206B1-S1Fc1U5Z1B1	25	clone_1
HT206B1-S1Fc1U5Z1B1	26	clone_2
HT206B1-S1Fc1U5Z1B1	29	clone_2
HT206B1-S1Fc1U5Z1B1	33	clone_1
HT206B1-S1Fc1U5Z1B1	34	clone_1
HT206B1-S1Fc1U5Z1B1	38	clone_1
HT206B1-S1Fc1U5Z1B1	39	clone_1
HT206B1-S1Fc1U5Z1B1	4	clone_1
HT206B1-S1Fc1U5Z1B1	40	clone_1
HT206B1-S1Fc1U5Z1B1	41	clone_2
HT206B1-S1Fc1U5Z1B1	48	clone_1
HT206B1-S1Fc1U5Z1B1	54	clone_1
HT206B1-S1Fc1U5Z1B1	55	clone_2
HT206B1-S1Fc1U5Z1B1	56	clone_1
HT206B1-S1Fc1U5Z1B1	58	clone_1
HT206B1-S1Fc1U5Z1B1	7	clone_1
HT206B1-S1Fc1U5Z1B1	8	clone_1
HT206B1-U1_ST_Bn1	1	clone_1
HT206B1-U1_ST_Bn1	10	clone_1
HT206B1-U1_ST_Bn1	13	clone_1
HT206B1-U1_ST_Bn1	14	clone_1
HT206B1-U1_ST_Bn1	16	clone_1
HT206B1-U1_ST_Bn1	18	clone_1
HT206B1-U1_ST_Bn1	2	clone_1
HT206B1-U1_ST_Bn1	21	clone_2
HT206B1-U1_ST_Bn1	22	clone_2
HT206B1-U1_ST_Bn1	23	clone_2
HT206B1-U1_ST_Bn1	3	clone_1
HT206B1-U1_ST_Bn1	4	clone_1
HT206B1-U1_ST_Bn1	5	clone_1
HT206B1-U1_ST_Bn1	7	clone_2
HT206B1-U1_ST_Bn1	9	clone_1
HT265B1-S1H1Fc2U1Z1Bs1	1	clone_1
HT265B1-S1H1Fc2U1Z1Bs1	10	clone_1
HT265B1-S1H1Fc2U1Z1Bs1	12	clone_1
HT265B1-S1H1Fc2U1Z1Bs1	13	clone_1
HT265B1-S1H1Fc2U1Z1Bs1	14	clone_1
HT265B1-S1H1Fc2U1Z1Bs1	15	clone_1
HT265B1-S1H1Fc2U1Z1Bs1	2	clone_1
HT265B1-S1H1Fc2U1Z1Bs1	3	clone_2
HT265B1-S1H1Fc2U1Z1Bs1	4	clone_2
HT265B1-S1H1Fc2U1Z1Bs1	5	clone_2
HT265B1-S1H1Fc2U1Z1Bs1	6	clone_1
HT265B1-S1H1Fc2U1Z1Bs1	7	clone_1
HT265B1-S1H1Fc2U1Z1Bs1	8	clone_1
HT265B1-S1H1Fc2U1Z1Bs1	9	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	1	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	11	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	12	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	14	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	16	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	17	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	18	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	21	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	22	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	25	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	27	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	28	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	29	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	3	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	31	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	4	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	5	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	6	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	7	clone_1
HT339B1-S1H3Fc2U1Z1Bs1	9	clone_1
HT339B1-S1H3Fc2U2Bs2	1	clone_1
HT339B1-S1H3Fc2U2Bs2	11	clone_1
HT339B1-S1H3Fc2U2Bs2	13	clone_1
HT339B1-S1H3Fc2U2Bs2	14	clone_1
HT339B1-S1H3Fc2U2Bs2	17	clone_1
HT339B1-S1H3Fc2U2Bs2	18	clone_1
HT339B1-S1H3Fc2U2Bs2	19	clone_1
HT339B1-S1H3Fc2U2Bs2	2	clone_1
HT339B1-S1H3Fc2U2Bs2	21	clone_1
HT339B1-S1H3Fc2U2Bs2	22	clone_1
HT339B1-S1H3Fc2U2Bs2	24	clone_1
HT339B1-S1H3Fc2U2Bs2	25	clone_1
HT339B1-S1H3Fc2U2Bs2	26	clone_1
HT339B1-S1H3Fc2U2Bs2	28	clone_1
HT339B1-S1H3Fc2U2Bs2	3	clone_1
HT339B1-S1H3Fc2U2Bs2	34	clone_1
HT339B1-S1H3Fc2U2Bs2	35	clone_1
HT339B1-S1H3Fc2U2Bs2	36	clone_1
HT339B1-S1H3Fc2U2Bs2	37	clone_1
HT339B1-S1H3Fc2U2Bs2	6	clone_1
HT339B1-S1H3Fc2U2Bs2	7	clone_1
HT339B1-S1H3Fc2U2Bs2	8	clone_1
HT339B1-S1H3Fc2U2Bs2	9	clone_1
HT268B1-Th1H3Fc2U12Z1Bs1	1	clone_2
HT268B1-Th1H3Fc2U12Z1Bs1	10	clone_1
HT268B1-Th1H3Fc2U12Z1Bs1	2	clone_2
HT268B1-Th1H3Fc2U12Z1Bs1	3	clone_1
HT268B1-Th1H3Fc2U12Z1Bs1	4	clone_1
HT268B1-Th1H3Fc2U12Z1Bs1	5	clone_1
HT268B1-Th1H3Fc2U12Z1Bs1	6	clone_2
HT268B1-Th1H3Fc2U12Z1Bs1	7	clone_2
HT268B1-Th1H3Fc2U12Z1Bs1	9	clone_1
HT268B1-Th1H3Fc2U22Z1Bs1	1	clone_2
HT268B1-Th1H3Fc2U22Z1Bs1	10	clone_1
HT268B1-Th1H3Fc2U22Z1Bs1	2	clone_2
HT268B1-Th1H3Fc2U22Z1Bs1	4	clone_2
HT268B1-Th1H3Fc2U22Z1Bs1	5	clone_1
HT268B1-Th1H3Fc2U22Z1Bs1	6	clone_1
HT268B1-Th1H3Fc2U22Z1Bs1	7	clone_1
HT268B1-Th1H3Fc2U22Z1Bs1	8	clone_1
HT268B1-Th1H3Fc2U22Z1Bs1	9	clone_1
HT268B1-Th1H3Fc2U2Z1Bs1	1	clone_2
HT268B1-Th1H3Fc2U2Z1Bs1	2	clone_2
HT268B1-Th1H3Fc2U2Z1Bs1	3	clone_1
HT268B1-Th1H3Fc2U2Z1Bs1	4	clone_1
HT268B1-Th1H3Fc2U2Z1Bs1	5	clone_2
HT268B1-Th1H3Fc2U2Z1Bs1	6	clone_1
HT268B1-Th1H3Fc2U2Z1Bs1	8	clone_1
HT268B1-Th1H3Fc2U32Z1Bs1	1	clone_2
HT268B1-Th1H3Fc2U32Z1Bs1	10	clone_1
HT268B1-Th1H3Fc2U32Z1Bs1	2	clone_2
HT268B1-Th1H3Fc2U32Z1Bs1	3	clone_1
HT268B1-Th1H3Fc2U32Z1Bs1	4	clone_1
HT268B1-Th1H3Fc2U32Z1Bs1	5	clone_1
HT268B1-Th1H3Fc2U32Z1Bs1	6	clone_2
HT268B1-Th1H3Fc2U32Z1Bs1	7	clone_1
HT268B1-Th1H3Fc2U32Z1Bs1	8	clone_1
HT268B1-Th1K3Fc2U1Z1Bs1	1	clone_1
HT268B1-Th1K3Fc2U1Z1Bs1	10	clone_1
HT268B1-Th1K3Fc2U1Z1Bs1	2	clone_1
HT268B1-Th1K3Fc2U1Z1Bs1	3	clone_2
HT268B1-Th1K3Fc2U1Z1Bs1	4	clone_2
HT268B1-Th1K3Fc2U1Z1Bs1	5	clone_2
HT268B1-Th1K3Fc2U1Z1Bs1	6	clone_2
HT268B1-Th1K3Fc2U1Z1Bs1	7	clone_2
HT268B1-Th1K3Fc2U1Z1Bs1	8	clone_2
HT268B1-Th1K3Fc2U1Z1Bs1	9	clone_1
HT112C1-U1_ST_Bn1	1	clone_2
HT112C1-U1_ST_Bn1	2	clone_2
HT112C1-U1_ST_Bn1	3	clone_3
HT112C1-U1_ST_Bn1	4	clone_1
HT112C1-U1_ST_Bn1	5	clone_1
HT112C1-U1_ST_Bn1	6	clone_3
HT112C1-U2_ST_Bn1	1	clone_2
HT112C1-U2_ST_Bn1	2	clone_3
HT112C1-U2_ST_Bn1	3	clone_3
HT112C1-U2_ST_Bn1	4	clone_1
HT112C1-U2_ST_Bn1	5	clone_1
HT112C1-U2_ST_Bn1	6	clone_1
HT112C1-U2_ST_Bn1	7	clone_2
HT253C1-Th1K1Fc2U1Z1Bs1	1	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	10	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	11	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	12	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	13	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	14	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	15	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	17	clone_2
HT253C1-Th1K1Fc2U1Z1Bs1	18	clone_2
HT253C1-Th1K1Fc2U1Z1Bs1	2	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	3	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	4	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	5	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	6	clone_1
HT253C1-Th1K1Fc2U1Z1Bs1	9	clone_1
HT260C1-Th1K1Fc2U1Z1Bs1	1	clone_2
HT260C1-Th1K1Fc2U1Z1Bs1	10	clone_1
HT260C1-Th1K1Fc2U1Z1Bs1	11	clone_2
HT260C1-Th1K1Fc2U1Z1Bs1	12	clone_1
HT260C1-Th1K1Fc2U1Z1Bs1	2	clone_2
HT260C1-Th1K1Fc2U1Z1Bs1	3	clone_2
HT260C1-Th1K1Fc2U1Z1Bs1	4	clone_1
HT260C1-Th1K1Fc2U1Z1Bs1	5	clone_1
HT260C1-Th1K1Fc2U1Z1Bs1	6	clone_1
HT260C1-Th1K1Fc2U1Z1Bs1	7	clone_1
HT260C1-Th1K1Fc2U1Z1Bs1	8	clone_1
HT260C1-Th1K1Fc2U1Z1Bs1	9	clone_1
HT270P1-H2Fc2U1Z1Bs1	1	clone_2
HT270P1-H2Fc2U1Z1Bs1	10	clone_1
HT270P1-H2Fc2U1Z1Bs1	11	clone_1
HT270P1-H2Fc2U1Z1Bs1	12	clone_1
HT270P1-H2Fc2U1Z1Bs1	13	clone_1
HT270P1-H2Fc2U1Z1Bs1	14	clone_1
HT270P1-H2Fc2U1Z1Bs1	15	clone_1
HT270P1-H2Fc2U1Z1Bs1	16	clone_1
HT270P1-H2Fc2U1Z1Bs1	17	clone_1
HT270P1-H2Fc2U1Z1Bs1	18	clone_1
HT270P1-H2Fc2U1Z1Bs1	19	clone_1
HT270P1-H2Fc2U1Z1Bs1	2	clone_2
HT270P1-H2Fc2U1Z1Bs1	20	clone_1
HT270P1-H2Fc2U1Z1Bs1	21	clone_1
HT270P1-H2Fc2U1Z1Bs1	22	clone_1
HT270P1-H2Fc2U1Z1Bs1	23	clone_2
HT270P1-H2Fc2U1Z1Bs1	3	clone_2
HT270P1-H2Fc2U1Z1Bs1	4	clone_1
HT270P1-H2Fc2U1Z1Bs1	5	clone_2
HT270P1-H2Fc2U1Z1Bs1	6	clone_1
HT270P1-H2Fc2U1Z1Bs1	7	clone_1
HT270P1-H2Fc2U1Z1Bs1	8	clone_1
HT270P1-H2Fc2U1Z1Bs1	9	clone_1
HT288P1-S1H4Fc2U1Z1Bs1	1	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	10	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	11	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	12	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	13	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	14	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	15	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	16	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	17	clone_1
HT288P1-S1H4Fc2U1Z1Bs1	18	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	2	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	20	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	21	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	22	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	23	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	24	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	3	clone_3
HT288P1-S1H4Fc2U1Z1Bs1	4	clone_3
HT288P1-S1H4Fc2U1Z1Bs1	5	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	6	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	7	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	8	clone_2
HT288P1-S1H4Fc2U1Z1Bs1	9	clone_2
HT306P1-S1H1Fc2U1Z1Bs1	1	clone_1
HT306P1-S1H1Fc2U1Z1Bs1	10	clone_1
HT306P1-S1H1Fc2U1Z1Bs1	11	clone_3
HT306P1-S1H1Fc2U1Z1Bs1	12	clone_3
HT306P1-S1H1Fc2U1Z1Bs1	2	clone_2
HT306P1-S1H1Fc2U1Z1Bs1	3	clone_1
HT306P1-S1H1Fc2U1Z1Bs1	4	clone_3
HT306P1-S1H1Fc2U1Z1Bs1	5	clone_1
HT306P1-S1H1Fc2U1Z1Bs1	6	clone_1
HT306P1-S1H1Fc2U1Z1Bs1	7	clone_1
HT306P1-S1H1Fc2U1Z1Bs1	8	clone_1
HT306P1-S1H1Fc2U1Z1Bs1	9	clone_1
